title,summary,text,language,link,ilr_quantized,ilr_range,ilr_regressed
Paris 2024 : l’Etat accorde une rallonge de 33 millions d’euros pour l’organisation des Jeux paralympiques,L’organisation des Jeux paralympiques est déficitaire et des incertitudes pèsent en particulier sur les revenus issus de la billetterie.,"La ministre des sports et des Jeux olympiques et paralympiques, Amélie Oudéa-Castéra, a confirmé, mercredi 26 juin lors du conseil des ministres, quune rallonge de 33 millions deuros sera accordée au… ",,https://www.lemonde.fr/sport/article/2024/06/26/paris-2024-l-etat-accorde-une-rallonge-de-33-millions-d-euros-pour-l-organisation-des-jeux-paralympiques_6243902_3242.html,1.5,"[0.40468562544056486, 2.157188624735661]",1.280937125088113
Tour de France 2024 : le parcours de la quatrième étape,"Après trois jours en Italie, les coureurs font leur incursion en France, lors de la quatrième étape, mardi 2 juillet. Au programme de cette épreuve, longue de 139,6 kilomètres, le terrible col du Galibier.","Le profil de la quatrième étape du Tour de France 2024. 
Pour cette bascule en France, les organisateurs nont pas lésiné. Après trois jours de course en Italie, entre Florence, Bologne et Turin, les… ",,https://www.lemonde.fr/sport/article/2024/07/02/tour-de-france-2024-le-parcours-de-la-quatrieme-etape_6245928_3242.html,1.0,"[0.649819544229552, 1.5836340929507466]",1.116726818590149
Tour de France 2024 : le parcours de la cinquième étape,"La cinquième étape de la 11ᵉ édition de la Grande Boucle s’élance de Saint-Jean-de-Maurienne (Savoie), mercredi 3 juillet, et rejoint Saint-Vulbas (Ain). Les 177 kilomètres, dépourvus de difficulté, devraient permettre aux sprinteurs de s’expliquer.","Le profil de la cinquième étape du Tour de France 2024. AMAURY SPORT ORGANISATION
Après la tempête, le calme. Au lendemain dun premier passage en haute montagne, avec lascension du col du Galibier e… ",,https://www.lemonde.fr/sport/article/2024/07/03/tour-de-france-2024-le-parcours-de-la-cinquieme-etape_6246195_3242.html,1.0,"[0.7157890306556931, 1.4736849489071782]",1.0947369897814356
"Suisse-Italie : le résumé de la qualification de la Nati qui élimine les tenants du titre, et file en quarts de finale","Les hommes de Murat Yakin ont largement dominé, samedi, à Berlin, les Azzurri (2-0) grâce à deux buts de Remo Freuler et Ruben Vargas.","Cest la première sensation de la compétition. LItalie tenante du titre a été battue (2-0) par la Suisse, samedi 29 juin, à Berlin, en huitième de finale du championnat dEurope des nations. La Nati a … ",,https://www.lemonde.fr/sport/article/2024/06/29/suisse-italie-le-resume-de-la-qualification-de-la-nati-qui-elimine-les-tenants-du-titre-et-file-en-quarts-de-finale_6245448_3242.html,1.0,"[0.8979729952840865, 1.1700450078598559]",1.0340090015719712
"Actualité : Droits TV Ligue 1 : les diffuseurs officiels sont désormais connus, où regarder la saison 2024/2025 de Ligue 1 ?","Après un feuilleton de plusieurs mois et des rumeurs toutes plus folles les unes que les autres, la sentence est finalement tombée : DAZN et BeIN Sports seront les deux diffuseurs officiels de la Ligue 1.","Ligue 1 : le championnat diffusé sur BeIN et DAZN
Ce dimanche 14 juillet 2024, le conseil d'administration de la LFP a finalement fait un choix : BeIN Sports et DAZN sont les deux offres sélectionné… ",,https://www.lesnumeriques.com/evenement-sportif/droits-tv-ligue-1-les-diffuseurs-officiels-sont-desormais-connus-ou-regarder-la-saison-2024-2025-de-ligue-1-n224137.html,1.5,"[0.2534136636989368, 2.247951801780638]",1.2506827327397874
France-Belgique : le résumé de la qualification étriquée des Bleus,"Grâce à un but contre son camp du défenseur belge Jan Vertonghen, consécutif à une frappe de Randal Kolo Muani, l’équipe de France a difficilement battu (1-0) les Diables rouges, lundi, à Düsseldorf. Elle se hisse en quarts de finale du tournoi.","De gauche à droite, Randal Kolo Muani, Jules Koundé et Théo Hernandez célèbrent le but tricolore face à la Belgique, lundi 1 juillet, à Düsseldorf. FABIO FERRARI / AP
Léquipe de France nourrit toujo… ",,https://www.lemonde.fr/sport/article/2024/07/01/france-belgique-le-resume-de-la-qualification-etriquee-des-bleus_6245897_3242.html,1.0,"[0.9494220716545678, 1.0303467570072593]",0.9898844143309136
Tour de France 2024 : le parcours de la neuvième étape,"La neuvième étape de cette 111ᵉ édition de la Grande Boucle, longue de 199 kilomètres et disputée autour de Troyes (Aube), présente un parcours atypique, avec des secteurs non asphaltés.","Le profil de la neuvième étape du Tour de France 2024. 
Par tronçons, dimanche 7 juillet, certains coureurs et suiveurs se demanderont sils sont sur le parcours du Tour de France, ou bien sur celui … ",,https://www.lemonde.fr/sport/article/2024/07/07/tour-de-france-2024-le-parcours-de-la-neuvieme-etape_6247425_3242.html,1.5,"[0.2859445862956287, 2.228433248222623]",1.2571889172591255
Tour de France 2024 : le parcours de la dixième étape,"La dixième étape de la Grande Boucle, entre Orléans (Loiret) et Saint-Amand-Montrond (Cher), mardi 9 juillet, est la plus plate de la 111ᵉ édition.","Le profil de la dixième étape du Tour de France 2024. AMAURY SPORT ORGANISATION
Après la première journée de repos à Orléans (Loiret), la dixième étape du Tour de France 2024, mardi 9 juillet, mèner… ",,https://www.lemonde.fr/sport/article/2024/07/09/tour-de-france-2024-le-parcours-de-la-dixieme-etape_6248084_3242.html,1.0,"[0.5997298712872459, 1.6671168811879236]",1.1334233762375847
Tour de France 2024 : le parcours de la treizième étape,"La treizième étape de la 111e édition de la Grande Boucle relie Agen (Lot-et-Garonne) à Pau (Pyrénées-Atlantiques), sur 165,3 kilomètres, vendredi 12 juillet.","Le profil de la treizième étape du Tour de France 2024. 
Dans lhistoire du Tour de France, la ville darrivée de la treizième étape de la 111e édition de la Grande Boucle occupe une place particulièr… ",,https://www.lemonde.fr/sport/article/2024/07/12/tour-de-france-2024-le-parcours-de-la-treizieme-etape_6248886_3242.html,1.0,"[0.9403575517204112, 1.0357854689677533]",0.9880715103440822
Tour de France 2024 : le parcours de la seizième étape,"Au lendemain du dernier jour de repos de cette 111e édition de la Grande Boucle, le peloton retrouve, mardi 16 juillet, une étape sans difficulté, entre Gruissan (Aude) et Nîmes (Gard).","Le profil de la seizième étape du Tour de France 2024. 
Au lendemain du second jour de repos, la seizième étape du Tour de France 2024, entre Gruissan (Aude) et Nîmes (Gard), mardi 16 juillet, appar… ",,https://www.lemonde.fr/sport/article/2024/07/16/tour-de-france-2024-le-parcours-de-la-seizieme-etape_6250601_3242.html,1.0,"[0.39588742976636926, 2.006854283722718]",1.2013708567445436
