title,summary,text,language,link,ilr_quantized,ilr_range,ilr_regressed
Cyclisme. « Je suis désolé » : quand Jonathan Vaughters s'excuse d'avoir embauché un coureur suspecté de transport de produits dopants,"Le patron de l'équipe EF Education-Easy Post raconte avoir dû s'excuser auprès de son équipe suite à l'affaire impliquant Andrea Piccolo, accusé d'avoir transporté des hormones de croissance de la Colombie à l'Italie.","Jonathan Vaughters s'est excusé auprès de ses coureurs et du staff de EF Education-Easy Post, explique Cyclingnews. Des excuses qui font suite à une affaire qui a fait grand bruit ces derniers jours … ",,https://www.ledauphine.com/sport/2024/07/01/je-suis-desole-quand-jonathan-vaughters-s-excuse-d-avoir-embauche-un-coureur-suspecte-de-transport-de-produits-dopants,1.0,"[0.6134410912949742, 1.2319353452230155]",0.9226882182589948
Disney+ : les sorties de la semaine avec un film culte à ne pas manquer,"Disney+ mise tout sur un film ultra culte cette semaine, et le retour d'une série très appréciée et bourrée d'humour. De quoi bien débuter l'été.","Disney+ mise tout sur un film ultra culte cette semaine, et le retour d'une série très appréciée et bourrée d'humour. De quoi bien débuter l'été.Avec le soleil, Disney+ dégaine ses premières nouveaut… ",,https://www.gameblog.fr/geek/ed/news/disney-sorties-semaine-film-west-side-story-580162,1.0,"[0.43458647113544036, 1.9423558814409327]",1.1884711762881863
Apple lance son Back to School 2024 dans certains pays avec des cartes cadeaux,"Comme prévu, l’offre Back to School 2024 d’Apple voit le jour aux États-Unis, au Canada et en Inde avant de débarquer en Europe. Elle permet d’avoir des cartes cadeaux pouvant atteindre 150 dollars et 20% de remises sur l’assurance AppleCare+. Cela concerne l…","Comme prévu, l’offre Back to School 2024 d’Apple voit le jour aux États-Unis, au Canada et en Inde avant de débarquer en Europe. Elle permet d’avoir des cartes cadeaux pouvant atteindre 150 dollars e… ",,https://iphoneaddict.fr/post/news-389905-apple-lance-back-to-school-2024-certains-pays-cartes-cadeaux,1.5,"[1.3862427070554526, 1.6895954882409123]",1.5379190976481825
Tour de France 2024. Le classement de la 4e étape remportée par Tadej Pogacar,"Vainqueur en solitaire de la 4e étape du Tour de France entre Pinerolo et Valloire (139 km) ce mardi 2 juillet, Tadej Pogacar (UAE Team Emirates) met déjà la pression sur Jonas Vingegaard (Visma - Lease a bike), Remco Evenepoel (Soudal Quick-Step) et Primoz R…","On lavait quitté intouchable sur le Tour dItalie, il semble également lêtre sur le Tour de France. Tadej Pogacar (UAE Team Emirates) a remporté en solitaire, ce mardi 2 juillet, la 4e étape du Tour d… ",,https://www.ouest-france.fr/tour-de-france/tour-de-france-2024-le-classement-de-la-4e-etape-remportee-par-tadej-pogacar-98f21988-3872-11ef-9f2b-c38da737f062,1.0,"[0.6096245005720329, 1.6506258323799452]",1.130125166475989
"Législatives : la nouvelle polémique du RN, LFI donne rendez-vous à Renaissance au tribunal","Si vous avez loupé les principales infos de ce vendredi, L’Express compile ce qu’il faut savoir : le ""monsieur Education"" du RN désavoué, LFI saisit la justice contre le camp présidentiel, et un proche de Macron qui alerte sur le ""ni-ni"".","21 h 02, dimanche 9 juin. La France bascule dans un inconnu vertigineux, après lannonce présidentielle de la dissolution de lAssemblée nationale. Depuis, la campagne bat son plein afin délire les 577… ",,https://www.lexpress.fr/politique/legislatives-la-nouvelle-polemique-du-rn-lfi-donne-rendez-vous-a-renaissance-au-tribunal-VTXY66UNRRGJLFQC5ZDO4YWHQM/,1.5,"[1.4564981108179547, 1.5725031486367422]",1.5145006297273484
"Tour de France. « Ça marche mieux dans les montées ! » : Evenepoel a perdu 2,5 kg depuis le Dauphiné","Dauphin de Tadej Pogacar au classement général avant la troisième étape du Tour de France, disputée ce lundi 1er juillet entre Plaisance et Turin, Remco Evenepoel a déclaré avoir « perdu 2,5 kg depuis le Dauphiné ». Le Belge avait bouclé le critérium alpin à …","Il estimait déjà avoir du poids à perdre à lissue du Critérium du Dauphiné, le 9 juin dernier. Remco Evenepoel a fait mieux que les « 1 à 2 kg » prévus initialement. À lissue de la deuxième étape du … ",,https://www.ouest-france.fr/tour-de-france/tour-de-france-ca-marche-mieux-dans-les-montees-evenepoel-a-perdu-2-5-kg-depuis-le-dauphine-447e4fea-3780-11ef-9c89-e0b91afbddff,1.0,"[0.7020064691984311, 1.4966558846692815]",1.0993311769338563
Apple lance son Back to School 2024 en France avec les AirPods offerts et l’Apple Pencil,"Apple lance aujourd’hui son offre Back to School 2024 en France et dans le reste de l’Europe, ainsi qu’en Asie et au Moyen-Orient. Nous avions l’habitude à avoir des cartes cadeaux les années précédentes. Pour 2024, elles existent toujours selon les pays. Pou…","Apple lance aujourd’hui son offre Back to School 2024 en France et dans le reste de l’Europe, ainsi qu’en Asie et au Moyen-Orient. Nous avions l’habitude à avoir des cartes cadeaux les années précéde… ",,https://iphoneaddict.fr/post/news-390501-apple-lance-back-to-school-2024-france-airpods-offerts-lapple-pencil,1.5,"[1.18065587785025, 2.0322402035829166]",1.606448040716583
"Netflix : les nouveautés de juillet 2024, c'est de la folie","Netflix met lui aussi le paquet pour le mois de juillet 2024 avec une quantité astronomique de films et séries. En prime, on ne parle pas ici de n'importe quels programmes, mais de films très appréciés, cultes pour certains et le retour de séries extrêmement …","Netflix met lui aussi le paquet pour le mois de juillet 2024 avec une quantité astronomique de films et séries. En prime, on ne parle pas ici de n'importe quels programmes, mais de films très appréci… ",,https://www.gameblog.fr/geek/ed/news/netflix-nouveautes-juillet-2024-films-series-578594,1.0,"[0.30939816019759636, 2.1510030663373394]",1.230200613267468
"Accord de gouvernement : les syndicats de l’enseignement montent déjà au créneau, la réforme du statut fait grincer des dents","Parmi les mesures annoncées par la nouvelle majorité wallonne, les présidents Bouchez et Prévôt ont mis en avant celles...","Education
Un peu plus dun mois après les élections du 9 juin, un accord de gouvernement a été trouvé pour la Wallonie et la...",,https://www.rtbf.be/article/accord-de-gouvernement-les-syndicats-de-l-enseignement-montent-deja-au-creneau-la-reforme-du-statut-fait-grincer-des-dents-11403676,1.5,"[0.5013331806145525, 2.0992000916312685]",1.3002666361229105
Richard Carapaz nouveau maillot jaune du Tour de France : “Ce maillot fait rêver tous les coureurs”,L’Équatorien est devenu le premier coureur de son pays à endosser la tunique de leader du classement général. ...,"Quatorzième du sprint de Turin lors duquel il a toujours veillé à demeurer bien placé, Richard Carapaz s'est emparé lundi du maillot jaune de Pogacar par le jeu de l'addition des places sur les trois… ",,https://www.dhnet.be/sports/cyclisme/2024/07/02/richard-carapaz-nouveau-maillot-jaune-du-tour-de-france-ce-maillot-fait-rever-tous-les-coureurs-2X4MKARFLJANNFNZ7MM25HYDCY/,1.5,"[0.29424999594653034, 2.223450002432082]",1.258849999189306
Game of Thrones : première image pour le spin-off A Knight of The Seven Kingdoms,HBO n'a pas dit son dernier mot avec Game of Thrones et à peine la saison 2 d'House of the Dragon entamée que le tournage d'A Knight of The Seven Kingdoms vient de commencer avec une première image.,"Alors que tout le monde a encore la fin du premier épisode de la saison 2 d'House of the Dragon entre les lèvres, la série venant de faire son retour en lançant la plate-forme de streaming Max en Fra… ",,https://www.cnetfrance.fr/news/game-of-thrones-premiere-image-pour-le-spin-off-a-knight-of-the-seven-kingdoms-408843.htm#xtor=RSS-300021,1.5,"[1.0183160136340783, 1.789010391819553]",1.4036632027268157
Les utilisateurs de Gmail peuvent désormais demander à Gemini AI de les aider à rédiger et à résumer leurs courriels,"Désormais déployée dans Gmail sur le web et l'application mobile, l'IA Gemini peut répondre, analyser et traiter les questions relatives à vos messages électroniques.","Si vous souhaitez bénéficier d'une assistance de l'IA pour gérer vos courriels dans Gmail, vous pouvez désormais faire appel à Gemini de Google. Dans un billet de blog publié lundi, Google annonce qu… ",,https://www.zdnet.fr/actualites/les-utilisateurs-de-gmail-peuvent-desormais-demander-a-gemini-ai-de-les-aider-a-rediger-et-a-resumer-leurs-courriels-393663.htm,1.0,"[0.8555943227705081, 1.24067612871582]",1.048135225743164
